Nom de la région	Numéro de la circonscription	Nom de la circonscription	Dernière date de mise à jour au format ISO 8601	Résultats finaux	Nombre de bureaux complétés	Nombre total de bureaux	Nombre de votes valides	Nombre de votes rejetés	Nombre de votes exercés	Nombre d'électeurs inscrits	Taux de vote valide	Taux de vote rejeté	Taux de participation
13-Laval	470	Sainte-Rose	2018-10-17T10:10:42,609-04:00	true	172	172	36617	546	37163	53080	98.53	1.47	70.01
13-Laval	476	Vimont	2018-10-17T10:10:42,609-04:00	true	151	151	31277	467	31744	45909	98.53	1.47	69.15
14-Lanaudière	566	Berthier	2018-10-17T10:10:42,609-04:00	true	197	197	39990	752	40742	58335	98.15	1.85	69.84
14-Lanaudière	588	Bertrand	2018-10-17T10:10:42,609-04:00	true	167	167	33378	530	33908	50158	98.44	1.56	67.6
14-Lanaudière	536	Blainville	2018-10-17T10:10:42,609-04:00	true	184	184	42377	761	43138	57856	98.24	1.76	74.56
14-Lanaudière	508	Deux-Montagnes	2018-10-17T10:10:42,609-04:00	true	151	151	33806	636	34442	48440	98.15	1.85	71.1
14-Lanaudière	502	Groulx	2018-10-17T10:10:42,609-04:00	true	176	176	36370	604	36974	52633	98.37	1.63	70.25
14-Lanaudière	570	Joliette	2018-10-17T10:10:42,609-04:00	true	210	210	38251	630	38881	54057	98.38	1.62	71.93
14-Lanaudière	554	L'Assomption	2018-10-17T10:10:42,609-04:00	true	145	145	31979	575	32554	45248	98.23	1.77	71.95
14-Lanaudière	594	Labelle	2018-10-17T10:10:42,609-04:00	true	171	171	32288	465	32753	48741	98.58	1.42	67.2
14-Lanaudière	530	Les Plaines	2018-10-17T10:10:42,609-04:00	true	128	128	26980	645	27625	40009	97.67	2.33	69.05
14-Lanaudière	548	Masson	2018-10-17T10:10:42,609-04:00	true	147	147	33111	560	33671	46214	98.34	1.66	72.86
14-Lanaudière	514	Mirabel	2018-10-17T10:10:42,609-04:00	true	186	186	39543	680	40223	56903	98.31	1.69	70.69
14-Lanaudière	582	Prévost	2018-10-17T10:10:42,609-04:00	true	147	147	31630	477	32107	45347	98.51	1.49	70.8
14-Lanaudière	560	Repentigny	2018-10-17T10:10:42,609-04:00	true	181	181	37795	593	38388	51729	98.46	1.54	74.21
14-Lanaudière	576	Rousseau	2018-10-17T10:10:42,609-04:00	true	135	135	27168	580	27748	41944	97.91	2.09	66.15
14-Lanaudière	526	Saint-Jérôme	2018-10-17T10:10:42,609-04:00	true	212	212	39382	707	40089	60859	98.24	1.76	65.87
14-Lanaudière	542	Terrebonne	2018-10-17T10:10:42,609-04:00	true	186	186	41052	741	41793	57776	98.23	1.77	72.34
15-Laurentides	520	Argenteuil	2018-10-17T10:10:42,609-04:00	true	158	158	30477	457	30934	47351	98.52	1.48	65.33
16-Montérégie	218	Beauharnois	2018-10-17T10:10:42,609-04:00	true	157	157	32003	706	32709	47666	97.84	2.16	68.62
16-Montérégie	258	Borduas	2018-10-17T10:10:42,609-04:00	true	191	191	43640	597	44237	57897	98.65	1.35	76.41
16-Montérégie	204	Brome-Missisquoi	2018-10-17T10:10:42,609-04:00	true	204	204	41473	623	42096	59503	98.52	1.48	70.75
16-Montérégie	238	Chambly	2018-10-17T10:10:42,609-04:00	true	168	168	37685	518	38203	50699	98.64	1.36	75.35
16-Montérégie	226	Châteauguay	2018-10-17T10:10:42,609-04:00	true	172	172	33080	539	33619	52642	98.4	1.6	63.86
16-Montérégie	206	Granby	2018-10-17T10:10:42,609-04:00	true	169	169	36183	448	36631	52468	98.78	1.22	69.82
16-Montérégie	216	Huntingdon	2018-10-17T10:10:42,609-04:00	true	148	148	28905	508	29413	43512	98.27	1.73	67.6
16-Montérégie	210	Iberville	2018-10-17T10:10:42,609-04:00	true	158	158	33375	697	34072	48072	97.95	2.05	70.88
16-Montérégie	126	Johnson	2018-10-17T10:10:42,609-04:00	true	196	196	39466	923	40389	59862	97.71	2.29	67.47
16-Montérégie	236	La Pinière	2018-10-17T10:10:42,609-04:00	true	171	171	32880	435	33315	54534	98.69	1.31	61.09
16-Montérégie	232	La Prairie	2018-10-17T10:10:42,609-04:00	true	152	152	33634	549	34183	45669	98.39	1.61	74.85
16-Montérégie	244	Laporte	2018-10-17T10:10:42,609-04:00	true	179	179	35138	540	35678	53823	98.49	1.51	66.29
16-Montérégie	246	Marie-Victorin	2018-10-17T10:10:42,609-04:00	true	157	157	29050	546	29596	47044	98.16	1.84	62.91
16-Montérégie	252	Montarville	2018-10-17T10:10:42,609-04:00	true	170	170	42252	599	42851	53315	98.6	1.4	80.37
16-Montérégie	264	Richelieu	2018-10-17T10:10:42,609-04:00	true	155	155	30643	592	31235	44346	98.1	1.9	70.43
16-Montérégie	260	Saint-Hyacinthe	2018-10-17T10:10:42,609-04:00	true	204	204	40821	898	41719	58377	97.85	2.15	71.46
16-Montérégie	212	Saint-Jean	2018-10-17T10:10:42,609-04:00	true	207	207	42504	809	43313	60761	98.13	1.87	71.28
16-Montérégie	230	Sanguinet	2018-10-17T10:10:42,609-04:00	true	138	138	29826	616	30442	42016	97.98	2.02	72.45
16-Montérégie	220	Soulanges	2018-10-17T10:10:42,609-04:00	true	182	182	39018	551	39569	56258	98.61	1.39	70.33
16-Montérégie	250	Taillon	2018-10-17T10:10:42,609-04:00	true	175	175	36098	595	36693	53083	98.38	1.62	69.12
16-Montérégie	240	Vachon	2018-10-17T10:10:42,609-04:00	true	165	165	35828	676	36504	51519	98.15	1.85	70.86
16-Montérégie	224	Vaudreuil	2018-10-17T10:10:42,609-04:00	true	188	188	37932	508	38440	58504	98.68	1.32	65.7
16-Montérégie	256	Verchères	2018-10-17T10:10:42,609-04:00	true	187	187	45543	708	46251	59769	98.47	1.53	77.38
17-Centre-du-Québec	144	Arthabaska	2018-10-17T10:10:42,609-04:00	true	196	196	41465	791	42256	60808	98.13	1.87	69.49
17-Centre-du-Québec	138	Drummond-Bois-Francs	2018-10-17T10:10:42,609-04:00	true	170	170	34774	798	35572	51691	97.76	2.24	68.82
17-Centre-du-Québec	150	Nicolet-Bécancour	2018-10-17T10:10:42,609-04:00	true	145	145	28147	556	28703	39995	98.06	1.94	71.77
